,0
736,startseq  closeup of little girl on swing endseq
737,startseq  group of children play in the street where water is sprayed endseq
738,startseq  man and woman walk their dogs on leashes endseq
739,startseq  the kisscostumed adults are pushing the strollers of the kisscostumed kids endseq
740,startseq  child in striped shirt gleefully plays among some water fountains endseq
741,startseq  dog jumps over log in the woods endseq
742,startseq  boy dressed as pirate smiles largley endseq
743,startseq  dog looks behind itself endseq
744,startseq  blonde man is wakeboarding and is jumping into the air endseq
745,startseq  boy dressed as spiderman ringing door bell endseq
746,startseq  beach crowded with beachgoers endseq
747,startseq  black dogs jump in pool to hand endseq
748,startseq  costumed diner sits in restaurant wearing black outfit that covers their face endseq
749,startseq  girl dressed as devil stands in front of lighted object on city street endseq
750,startseq  two men raise their arms atop snowy mountain endseq
751,startseq  dog with few leashes and vest on pulls at something with its mouth endseq
752,startseq  man dressed in red outfit endseq
753,startseq  man dressed in brown holding light saber endseq
754,startseq  girl in polka dot dress singing into microphone endseq
755,startseq  group of five people stand outdoors endseq
756,startseq  girl with red helmet carying lot of rope endseq
757,startseq  man drives green jeep over few jagged rocks endseq
758,startseq  an upset woman with her makeup streaming down her face from her tears endseq
759,startseq  dog catches frisbee as it jumps on the grass endseq
760,startseq  guy in gray is walking across the street at night endseq
761,startseq  girl in bikini top and shorts poses for picture on mountain overlooking lake endseq
762,startseq  group of bicyclists riding down path in an off road race endseq
763,startseq  blond boy with navy blue uniform kicks soccer ball in an open field endseq
764,startseq  man in maroon bathing suit swings on rope on lake endseq
765,startseq  guy in swimming trunks flying on rope swing above lake endseq
766,startseq  the three people are squatting by the water endseq
767,startseq  two dogs are running through water carrying rope and red float in their mouths endseq
768,startseq  baby with pink hat held by man in red and woman in pink endseq
769,startseq  black dog in the water endseq
770,startseq  man and woman wear mickey mouse ears at an event endseq
771,startseq  black and white dog runs in some leaves endseq
772,startseq  black dog and tan dog fighting endseq
773,startseq  man rock climbs up very tall cliff with blue rope behind him endseq
774,startseq  boy does cartwheel on rock cliff endseq
775,startseq  dog in the forest endseq
776,startseq  man in hat stands in front of gray jeep in dry grass endseq
777,startseq  many of the chairs are empty with only few people enjoying the sun endseq
778,startseq  little blond boy and young woman in jeans walk through plaza endseq
779,startseq  man helps little girl ride bike endseq
780,startseq  man and girl sit on the ground and eat endseq
781,startseq  father feeding his child on the street endseq
782,startseq  climber is scaling mountain cliff endseq
783,startseq  child at an exhibit endseq
784,startseq  children participate in sport involving swine among spectators endseq
785,startseq  black and white dog balances on wooden plank endseq
786,startseq  kayaker kayaks through the water endseq
787,startseq  dog has wetsuit in his mouth on the beach endseq
788,startseq  fluffy white dog on leash with its owner riding bike endseq
789,startseq  girl in bikini and sneakers makes her way out of the water and onto the rocks endseq
790,startseq  several children playing in ball pit endseq
791,startseq  spotted dog black dog and puppy converging on tennis ball endseq
792,startseq  man is cycling on the road endseq
793,startseq  four boys doing cannonball jump in unison into the pool endseq
794,startseq  small dog steps onto log endseq
795,startseq  girl wearing blue top has her feet in the stream endseq
796,startseq  baby boy plays outside with blue toy endseq
797,startseq  black and white dog is playing in water endseq
798,startseq  the dogs fight over the red and pink ball endseq
799,startseq  child shows other kids his still packaged toy endseq
800,startseq  man in checked shirt stands next to large wooden bowl endseq
801,startseq  woman carrying purse and bag with baby in backpack walking down road endseq
802,startseq  children in red shirts play in the leaves endseq
803,startseq  child wearing white shirt hangs from the playground equipment endseq
804,startseq  black and white dog shakes itself to get the water off endseq
805,startseq  boy in large pool endseq
806,startseq  woman in purple shirt and brown puppy sit near fountain endseq
807,startseq  girl kisses her mother goodbye before she waits with the other children to start school endseq
808,startseq  big brown dog floats in canoe on the river at sunset endseq
809,startseq  brown and white animal surrounded by trees endseq
810,startseq  mountain climber looks down from the summit endseq
811,startseq  man and woman in glasses blow bubbles endseq
812,startseq  two boys in field kicking soccer ball endseq
813,startseq  boy plays game endseq
814,startseq  dog is on leash held by woman in white shoes endseq
815,startseq  young boy and girl sit in wagon eating corndogs endseq
816,startseq  man showering in home outdoor shower facility endseq
817,startseq  man does yard work endseq
818,startseq  group of people ride bikes while holding onto large trash bags endseq
819,startseq  an adult and child run on the beach endseq
820,startseq  boy caches fish while girl points at the fish endseq
821,startseq  blond girl with sunglasses on her head looks squeamish endseq
822,startseq  boxer punches boxer in the face endseq
823,startseq  little girl in only socks and necklace is being tossed in the air and caught endseq
824,startseq  man and woman ride bicycles next to each other endseq
825,startseq  group of people jump into lake in unison endseq
826,startseq  dog attempting to drink from an outdoor water faucet endseq
827,startseq  body boarder is being dumped on the beach by wave whilst other surfers are standing around in the water endseq
828,startseq  girl in white is swinging sword endseq
829,startseq  group of people stand in front of rock formation endseq
830,startseq  football player pauses during game endseq
831,startseq  brindlecoated dog is growling at jumping brown dog with purple collar inside park enclosure endseq
832,startseq  men wearing sunglasses with their backs turned to the camera endseq
833,startseq  guy outside playing guitar and smoking cigarette endseq
834,startseq  two men are approaching gold colored statue of gandhi endseq
835,startseq  dog in midair catching ring while another dog watches endseq
836,startseq  boy holds basketball angerly endseq
837,startseq  boy dribbles basketball in the gymnasium endseq
838,startseq  boy dressed in denim is running on the sidewalk endseq
839,startseq  man in black shirt is rollerblading past bench in the city endseq
840,startseq  people are sitting on step along the water and fishing endseq
841,startseq  girl falling off yellow and blue water tube endseq
842,startseq  boy with blue hat points towards bowl full of cork endseq
843,startseq  group of people are walking toward the mountains endseq
844,startseq  couple wearing black vike helmets sitting on bench together endseq
845,startseq  attrative woman climbs over fence endseq
846,startseq  two brown dogs are fighting and biting each other endseq
847,startseq  child sitting at restaurant table holding paper mask against his face endseq
848,startseq  group of boys play flag football while some bystanders watch endseq
849,startseq  man jumping in mud puddle in the middle of the street endseq
850,startseq  group of hikers led by black and white dog climbs hillside trail covered in ferns endseq
851,startseq  two dachshunds one black the other brown run on grass endseq
852,startseq  brown dog playing with tennis ball endseq
853,startseq  man cleaning the inside of large pane of glass endseq
854,startseq  group of teenagers one with pink hair endseq
855,startseq  girl in red shirt is standing around with her yellow bag and black purse at her side endseq
856,startseq  man in neoncolored vest holding up section of wood endseq
857,startseq  group of children are lined up for performance on stage endseq
858,startseq  girl in black jacket and hat is covered in pink blanket endseq
859,startseq  child doing gymnastics endseq
860,startseq  child in green shoes staring down drain endseq
861,startseq  big tan dog running threw the shallow water with stick in his mouth endseq
862,startseq  brown dog wades into lake to retrieve stick endseq
863,startseq  child in red coat is holding an armful of snow in front of house endseq
864,startseq  person in black and red jacket walking up snowy mountain endseq
865,startseq  man in shorts is standing on rock looking out at the view from the hilltop endseq
866,startseq  dog in field of colorful flowers endseq
867,startseq  mountain climbing gear on mountain endseq
868,startseq  brown and white dog is catching tennis ball while standing on its hind legs endseq
869,startseq  little girl is petting golden dog endseq
870,startseq  black and white dog chases pink frisbee endseq
871,startseq  boy holding hose next to man while another boy watches on held by woman endseq
872,startseq  lone hiker is sitting on rock on snowy mountain trail endseq
873,startseq  grey dog is jumping toward black and white dog in the snow endseq
874,startseq  group of friends ride the current in raft endseq
875,startseq  hiker standing on bluff high in the mountains endseq
876,startseq  child plays red toy guitar and sings into multicolored plastic microphone endseq
877,startseq  man paddling in water endseq
878,startseq  paraglider soars near cliff and over body of water endseq
879,startseq  person in field walks toward their white and orange parachute while another holds it endseq
880,startseq  man parachutes into the desert endseq
881,startseq  brown dog barks at another brown dog with stuffed duck in mouth endseq
882,startseq  girl in flower dress is running on sand endseq
883,startseq  black dog endseq
884,startseq  baby crawls next to street against blue sky endseq
885,startseq  baby holds game control above its head and laughs endseq
886,startseq  man has fallen over on the street at night endseq
887,startseq  man and child stand at the bottom of an outdoor staircase near benches endseq
888,startseq  boy hangs from tbar while man gives him push endseq
889,startseq  black dog with brown markings wearing red vest trots down path endseq
890,startseq  couple with young child wrapped in blanket sitting on concrete step endseq
891,startseq  adults and children stand and play in front of steps near wooded area endseq
892,startseq  brown and black dog play in field endseq
893,startseq  little girl in stripped tights lays on the laps of little girl and boy endseq
894,startseq  greyhound dog race is happening at the track endseq
895,startseq  group of people standing in front of setting sun endseq
896,startseq  boy without shirt is running in the street while several people stand behind him endseq
897,startseq  girl is taking picture of girl and guy on colorfully decorated pink bike endseq
898,startseq  man snowboarding down mountain covered with snow endseq
899,startseq  person is walking on sidewalk and skeleton is on the left inside of fence endseq
900,startseq  group of horses and people in front of snowy mountain endseq
901,startseq  black and brown dog is biting on stick in the forest endseq
902,startseq  black dog carrying colorful ball swims endseq
903,startseq  brown dog is jumping up at another dog in front of the man in jeans endseq
904,startseq  hiker posing for photo in an arid mountain landscape endseq
905,startseq  boy gets flipped into the river by another boy endseq
906,startseq  little girl in blue and pink leotard is walking along beam whilst person hand is stretched out to support her endseq
907,startseq  barefoot young boy glances at the camera while swinging in park endseq
908,startseq  the men are climbing endseq
909,startseq  little girl in pajamas is jumping on the couch endseq
910,startseq  lady in white hat and sunglasses riding bicycle endseq
911,startseq  blurry picture of woman riding bike endseq
912,startseq  white dog wearing christmas reindeer headband plays with brown dog in the grass among some stuffed animals endseq
913,startseq  man doing back flip while another takes picture endseq
914,startseq  dogs in race endseq
915,startseq  brown dog running in yard endseq
916,startseq  man in black hoodie and jeans skateboards down railing endseq
917,startseq  bicyclist dressed in all black in traffic endseq
918,startseq  black dog grabs bird in its mouth in the pool endseq
919,startseq  woman in pink hat and navy blue coat riding bicycle endseq
920,startseq  man in white hat uses money to obscure the face of the baby in his baby carrier endseq
921,startseq  girl who is surrounded by other people is taking picture at concert endseq
922,startseq  black and tan puppy is biting the ear of brown dog endseq
923,startseq  brown dog chasseing white dog endseq
924,startseq  man in beret rides bicycle down the street endseq
925,startseq  three boys in sports casual clothing are posing in front of blue building endseq
926,startseq  person in hangglider endseq
927,startseq  backpacker standing near water at dusk endseq
928,startseq  man casting fishing pole endseq
929,startseq  boy wearing jean jacket with his hand on his chest smiling at the camera endseq
930,startseq  hiker makes his way downhill endseq
931,startseq  boats out on the water on foggyday endseq
932,startseq  man dressed in black and holding package in his hands is walking on sidewalk near police sign asking for witnesses to road dealth to step forward endseq
933,startseq  two ladies walking on the sidewalk talking to each other endseq
934,startseq  boy sits in the library reading book endseq
935,startseq  brown and white dog holds tennis ball in his mouth endseq
936,startseq  group of people in protective gear endseq
937,startseq  dalmatian dog running downhill through leaves in wooded area endseq
938,startseq  brown dog is running away from his owner endseq
939,startseq  three children are jumping into the air into swimming pool at resort endseq
940,startseq  guy with scarf and woven toboggan endseq
941,startseq  the backs of two girls dressed identically in black shirts and black and red plants as they climb on fence endseq
942,startseq  boy in grey pajamas is jumping on the couch endseq
943,startseq  black and brown dog is playing on the ice at the edge of lake endseq
944,startseq  an elderly woman is riding bicycle in the city as yellow taxi is about to pass by endseq
945,startseq  man in the snow wearing furry hat and black jacket with red scarf endseq
946,startseq  black and white dog is jumping in the grass endseq
947,startseq  black and white dog runs beside brown dog in green field endseq
948,startseq  person in blue jacket wearing bicycle helmet is riding bike endseq
949,startseq  small boy standing near muddy water with something in his hand while someone beside him washes clothing in buckets endseq
950,startseq  boy high in the air above the dirt and water near the red rock cliffs endseq
951,startseq  dog in the snow endseq
952,startseq  child in bright red jacket runs through pile of hay endseq
953,startseq  boy holding kitchen utensils and making threatening face endseq
954,startseq  two girls bundled up in winter coats pose for picture endseq
955,startseq  girl in white coat takes pictures endseq
956,startseq  kayaker falling down waterfall endseq
957,startseq  man in yellow boat paddling down rough waters endseq
958,startseq  girl in purple dress smiling as she climbs an indoor rock wall endseq
959,startseq  mani is kayaking down some calmer rapids endseq
960,startseq  blonde dog is digging deep hole in the ground and its tail is up in the air endseq
961,startseq  person dressed up as snowman is walking through crowd of people endseq
962,startseq  broken down hummer gets towed on truck bed endseq
963,startseq  the girl in the white shirt has bracelet on and has her arm around the girl in the peach shirt endseq
964,startseq  large man is wearing headband with mistletoe attached to it endseq
965,startseq  dog running with newspaper in its mouth endseq
966,startseq  three black dogs are swimming through some murky brown water one with yellow object in its mouth endseq
967,startseq  girl in hooded jacket presents cake with candles endseq
968,startseq  brown dog is walking in the water endseq
969,startseq  hiker with two hiking poles stands on hillside with view of the city below him endseq
970,startseq  hiker is ready to take on rugged outdoor trail endseq
971,startseq  man in hat with long sleeves and long pants stands overlooking city endseq
972,startseq  woman little boy and tiny baby are standing in front of cow statue endseq
973,startseq  man in green hat is someplace up high endseq
974,startseq  woman and man in winter gear stand endseq
975,startseq  boy wearing black walks down the street with his hands in fists endseq
976,startseq  the boy laying face down on skateboard is being pushed along the ground by another boy endseq
977,startseq  dogs walking in the grassy field endseq
978,startseq  black dog bounds across the sand endseq
979,startseq  female wearing pink gloves and brown jacket is smiling in the snow endseq
980,startseq  boy in african clothing runs across concrete wall endseq
981,startseq  long haired man walking away beside canal whist holding onto railing endseq
982,startseq  man lies on street with his head and shoulders under parked car that is jacked up endseq
983,startseq  dog places his head on man face endseq
984,startseq  girl holding crocodile mouth closed endseq
985,startseq  boy stands in the ocean lifting up his shorts endseq
986,startseq  baby looks through his crib endseq
987,startseq  dog runs through snow in front of the woods endseq
988,startseq  dog lying on its back in the sand endseq
989,startseq  dog is shaking off water endseq
990,startseq  man and boy play music as little girls watch endseq
991,startseq  climber wearing red headband is pulling himself up some grey rocks high above some green foliage endseq
992,startseq  man looks through his binoculars while another man holds drink endseq
993,startseq  hiker waves to the camera as he standing in front of snowcapped mountains endseq
994,startseq  lone person standing on some rocks with large snowy mountains in the background endseq
995,startseq  man in winter jacket and knit cap stand with his arms up at his side in snow landscape endseq
996,startseq  male hiker wearing green jacket is posing next to large glacier endseq
997,startseq  girl in ballet fairy costume is touched by wand endseq
998,startseq  hiker is posing in front of snowy mountains endseq
999,startseq  brown chow mix dog is standing in front of van with euro plats in the middle of messy yard endseq
1000,startseq  black and gray cat stands on contracption while two big dogs stare at it endseq
1001,startseq  dog jumps onto the sidewalk endseq
1002,startseq  two dogs drink water in lake endseq
1003,startseq  little boy jumps on toy air gun endseq
1004,startseq  man in yellow jumps with his skis endseq
1005,startseq  dog is jumping in the snow endseq
1006,startseq  baseball is recoiling from an action taken on treated field watched by others endseq
1007,startseq  boy is being watched as he leaps up in the air on trampoline endseq
1008,startseq  black dog is leaping into creek endseq
1009,startseq  boy being swarmed by pigeons marble building in the background endseq
1010,startseq  girl skiing endseq
1011,startseq  man and woman walking on the sand with water in the background endseq
1012,startseq  man on the beach is taking picture of another man endseq
1013,startseq  brown dog jumps over barrier that is black and white endseq
1014,startseq  woman in knit cap and man in peacoat sit on subway laden with bags endseq
1015,startseq  one girl is helping another to take picture with digital camera endseq
1016,startseq  group of children sit on bench outside and smile happily endseq
1017,startseq  dog in some water enclosed by rocky ledge endseq
1018,startseq  two children standing under an awning endseq
1019,startseq  blue jeep drive into deep muddy water endseq
1020,startseq  brown and black dog and white dog are wrestling on the carpet endseq
1021,startseq  boy being drenched in downpour of water endseq
1022,startseq  boy stands near water with stone in his hand endseq
1023,startseq  boy in blue shirt and white pants stands on the edge of lake in town with church in the background endseq
1024,startseq  girl in red shirt is rock climbing endseq
1025,startseq  black dog in running in field endseq
1026,startseq  person wearing blue hat takes photo in the snow endseq
1027,startseq  group of girls ride an atv endseq
1028,startseq  person climbing up snowy mountain endseq
1029,startseq  dog is running through green yard endseq
1030,startseq  brown dog wearing red vest is running in the grass endseq
1031,startseq  three children covered in soap bubbles smile endseq
1032,startseq  dog is standing in small pool of water on top of mountain endseq
1033,startseq  dirty jeep is stuck in the mud endseq
1034,startseq  dog on green hillside endseq
1035,startseq  few boats ride in the water in front of city skyline endseq
1036,startseq  goalie tries to catch ball during soccer game endseq
1037,startseq  group of swimmers are holding on to rope at the beach endseq
1038,startseq  brown dog is sitting in the front of canoe endseq
1039,startseq  brown and black dog leaps through the freshly mown grass endseq
1040,startseq  car is driving towards green mountain endseq
1041,startseq  two brown dogs are running through the snow endseq
1042,startseq  brown dog running on shore with boat in the background endseq
1043,startseq  blond dog with floppy ears runs toward the camera endseq
1044,startseq  girl is standing outdoors with her hair blowing everywhere endseq
1045,startseq  woman wearing mock ancient egyptian headdress endseq
1046,startseq  brown dog is laying on his side on beige carpet with green object in the foreground endseq
1047,startseq  hummer is driving through mud puddle several feet deep endseq
1048,startseq  girl wrings out wet shirt endseq
1049,startseq  dog and cow are on rocky slope endseq
1050,startseq  boy in green shorts swims past boy in black shorts in an outdoor pool endseq
1051,startseq  woman in black sitting on train endseq
1052,startseq  group of people are playing with large red ring endseq
1053,startseq  boy in swimsuit slides along stretch of wet plastic endseq
1054,startseq  girl wearing halter top eats cake at table endseq
1055,startseq  an older man with white hair blue jacket and bright red hat endseq
1056,startseq  blue and white sailboat sits by dock endseq
1057,startseq  black and white dog in dogshirt carrying long piece of wood endseq
1058,startseq  dog catching frisbee endseq
1059,startseq  woman in gray is smoking cigarette endseq
1060,startseq  child in red jacket sitting on red disk in the snow endseq
1061,startseq  the two people are standing on rock holding themselves up against another rock while looking down endseq
1062,startseq  group is walking between two giant rock formations endseq
1063,startseq  baby eats and has food on his face endseq
1064,startseq  backpacker is walking in front of mountain with arms crossed endseq
1065,startseq  brown dog sits alone in front of snowbank endseq
1066,startseq  boy holds large icicle endseq
1067,startseq  child in orange poses in the snow riding blue sled endseq
1068,startseq  boy in an orange jacket appears unhappy endseq
1069,startseq  boy dives into pool near water slide endseq
1070,startseq  boy jumps into notsocrowded public pool endseq
1071,startseq  baby in santa hat holds santa figure while laying on brown sofa endseq
1072,startseq  beautiful brown and white st bernard running in the snow endseq
1073,startseq  man helping young child rollerskate endseq
1074,startseq  girl on the phone standing in front of beautiful plants is passed by another smiling girl endseq
1075,startseq  brown and black dog are wearing collars and playing with each other endseq
1076,startseq  boy holds light saber in front of christmas tree endseq
1077,startseq  man on bicycle riding on the beach endseq
1078,startseq  young boy jumping into lake endseq
1079,startseq  girl walks next to pool endseq
1080,startseq  boy in black winter clothes sits on an inflated sled by mound of snow endseq
1081,startseq  girl in blue bathing suit is walking away from the water on the beach endseq
1082,startseq  child in the snow with house in the background endseq
1083,startseq  man wearing black hat and coat makes face with crowd behind him endseq
1084,startseq  woman and girl ride sled down hill standing up endseq
1085,startseq  black dog carries an orange ball walking on the ground covered in leaves endseq
1086,startseq  girl colors with markers endseq
1087,startseq  blond girl in brown shirt with black pen up her nose endseq
1088,startseq  baby with food all over its mouth endseq
1089,startseq  dog jumping in midair above grass endseq
1090,startseq  black and white dog is playing with ball on lawn endseq
1091,startseq  man holds boy upside down over pond endseq
1092,startseq  three young boys looking through window endseq
1093,startseq  two fluffy white dogs are in the snow endseq
1094,startseq  black and white dog playing in the snow together endseq
1095,startseq  black dog is jumping into the water off dock endseq
1096,startseq  child is wading through water towards the beach endseq
1097,startseq  boy wearing black and blue life vest is on green wooden boat looking out towards the water endseq
1098,startseq  child in white shirt standing in field of grass endseq
1099,startseq  fluffy white dog and two white sheep smell each other endseq
1100,startseq  diagram of hand is displayed on wall behind which woman studies endseq
1101,startseq  boat with two fishermen sits peacefully on the lake endseq
1102,startseq  group of people are standing on beach near to white sunshade endseq
1103,startseq  girl in pink jacket and red hat walking near grass endseq
1104,startseq  black dog is trying to run with its legs buried in the snow endseq
1105,startseq  man is snowboarding and jumping off of snow hill endseq
1106,startseq  the three dogs are running down snowy track endseq
1107,startseq  child rides pony while an older child and adult stand next to her endseq
1108,startseq  man is sitting in boat on the shore with the lake in the background endseq
1109,startseq  girl riding toy horse in spiderman costume endseq
1110,startseq  boy and girl bouncing on ball endseq
1111,startseq  bike sits atop rise with mountains in the background endseq
1112,startseq  child is using the bathroom endseq
1113,startseq  man is wearing neon yellow vest while leaning over roof and another man is standing behind him endseq
1114,startseq  man stands at the edge of the water near the rocks endseq
1115,startseq  dog leaps for toy on road endseq
1116,startseq  two white dogs are running on the grass endseq
1117,startseq  dogs racing endseq
1118,startseq  blue rally car pulls away from the spectators watching from the side of the track endseq
1119,startseq  man dressed in black wearing hat and glasses in front of red wall endseq
1120,startseq  boy is leaning on chair whilst another boy pulls him around with rope endseq
1121,startseq  brown dog is running across the snowy ground endseq
1122,startseq  boy does cannonball into pool while girl watches endseq
1123,startseq  dog biting the tail of cow endseq
1124,startseq  boy in dark blue clothes is kneeling while holding toy endseq
1125,startseq  baby in winter clothes plays outside endseq
1126,startseq  two dogs are walking on rugged path one with blue rope tied to red object in its mouth endseq
1127,startseq  the three children are playing in fountain endseq
1128,startseq  boy wearing red shirt dumps water out of yellow bucket onto girl head endseq
1129,startseq  boy slides down snowy hill in an innertube endseq
1130,startseq  brown dog and two white dogs are bounding after ball endseq
1131,startseq  little girl dances in grassy field another girl is in the background endseq
1132,startseq  two asian cheerleaders are facing forward waving silver pompoms whilst other cheerleaders are performing facing the other way endseq
1133,startseq  man in white boat is rowing through fog endseq
1134,startseq  man in red jacket holds his bike for the picture endseq
1135,startseq  brown dog is on top of triangular structure endseq
1136,startseq  black dog runs in front of large brown and white bull endseq
1137,startseq  few people standing on top of mountain taking pictures endseq
1138,startseq  child in lake endseq
1139,startseq  dogs participating in race endseq
1140,startseq  person is scuba diving in very clear blue water endseq
1141,startseq  man in paddle boat on lake endseq
1142,startseq  boy standing and watching group of people on basketball court endseq
1143,startseq  brown dog is about to jump endseq
1144,startseq  brown dog is swimming and splashing in the water endseq
1145,startseq  adults and children in school uniforms move through flock of pigeons endseq
1146,startseq  girl messily eats plate of pasta endseq
1147,startseq  brown dog appears to be operating computer endseq
1148,startseq  person crouches at the end of dock on lake endseq
1149,startseq  city street with two ladies that have shopping bags in their hands with crowd behind them endseq
1150,startseq  child playing in the beach sand during sunset endseq
1151,startseq  cyclist wearing red helmet is riding on the pavement endseq
1152,startseq  brown and black dog laying on grey plushie in front of tv showing breaking news endseq
1153,startseq  baby cries in woman arms endseq
1154,startseq  boy is laying his head on the lap of the person who is sitting at desk endseq
1155,startseq  dog chases red ball endseq
1156,startseq  black dog runs through the black mud endseq
1157,startseq  boy in red shirt in front of long blue wall raises his eyebrow at the camera endseq
1158,startseq  dog runs through the woods near cottage endseq
1159,startseq  black dog is leaping from cylindrical hay bale endseq
1160,startseq  skiiers are walking through the snow near the mountains endseq
1161,startseq  boy runs in race while onlookers watch endseq
1162,startseq  shot of ski resort next to mountain endseq
1163,startseq  black dog running along the sandy shoreline of body of water while two ducks swim nearby endseq
1164,startseq  at least people swim in shallow water that grows deeps towards bridge endseq
1165,startseq  man in striped shirt tugging something away from dog endseq
1166,startseq  girl holds something while three dogs beg endseq
1167,startseq  dirt biker pushes his motorcycle up rock while another rider watches endseq
1168,startseq  dogs race on track endseq
1169,startseq  boy running through grassy area in park endseq
1170,startseq  bunch of people swimming in water endseq
1171,startseq  lady is swinging and smiling endseq
1172,startseq  boy is flying down snow covered slope on his sled endseq
1173,startseq  bearded man wearing bandanna is pointing his finger whilst riding bicycle endseq
1174,startseq  boy in wetsuit on crowded beach endseq
1175,startseq  group of mostly nude children playing on bridge over some water endseq
1176,startseq  group of people are crossing river endseq
1177,startseq  an extremely wet woman is wading in front of waterfall endseq
1178,startseq  boy takes football from another boy endseq
1179,startseq  group of people are jumping into the air with their arms held high endseq
1180,startseq  little girl and boy play in the sand on the beach endseq
1181,startseq  person is skijoring with dog in the mountains endseq
1182,startseq  boys and adults at soccer game endseq
1183,startseq  woman is climbing volleyball net on beach as two others watch endseq
1184,startseq  the two girls ride together on the bicycle while sightseeing endseq
1185,startseq  business man and security guard are smiling and talking outside glass building endseq
1186,startseq  two brown dogs trot along frozen ground in rural setting endseq
1187,startseq  the two men wearing ties stand in front of the sound of kildare bus endseq
1188,startseq  boy is aiming bow and arrow at target endseq
1189,startseq  man wearing black hat walks along road next to building endseq
1190,startseq  baby boy sucks on the sweater arm of the woman holding him endseq
1191,startseq  man grabs the end of set of bagpipes while another man plays endseq
1192,startseq  dog standing in the shallow part of the ocean while the waves splash around endseq
1193,startseq  child riding scooter indoors endseq
1194,startseq  man is helping young girl off ride at an amusement park endseq
1195,startseq  man climbing cliff face endseq
1196,startseq  climber is reaching for large crack in the rock face endseq
1197,startseq  brown dog is running through an obstacle course endseq
1198,startseq  girl falling down in the snow as another looks on endseq
1199,startseq  man jumps off ramp on snowboard endseq
1200,startseq  brown and white dog is jumping up with stick in its mouth endseq
1201,startseq  girl in blue jacket holding pink bottle in the front of crowd of other kids endseq
1202,startseq  dog running on green grass with its mouth open and tongue hanging out endseq
1203,startseq  man is pulling cart on wheels loaded with nets and is in front of the ocean blue company endseq
1204,startseq  brown and white dog plays with soccer ball on snowy ground endseq
1205,startseq  closeup of teenage girl wearing red beads endseq
1206,startseq  boy runs through the grass endseq
1207,startseq  boy is sitting on brightly colored chair next to child book playing guitar endseq
1208,startseq  female surfer endseq
1209,startseq  two children in the woods near pond endseq
1210,startseq  black dog about to catch flying disc endseq
1211,startseq  girl in frilly pink dress dancing on grass endseq
1212,startseq  man dressed in denim is walking along snow covered street next to red brick buildings endseq
1213,startseq  boy in fancy living room jumps from couch to couch endseq
1214,startseq  lady stands in the middle of crowd wearing white gloves endseq
1215,startseq  blond girl earring groucho marx glasses endseq
1216,startseq  child in red is guided by an adult endseq
1217,startseq  boy in red jacket is jumping in the sand endseq
1218,startseq  long bicyclist wearing white helmet riding down mountain path endseq
1219,startseq  little girl in pajamas takes picture with camera endseq
1220,startseq  little jewish boy is watching an old man playing the violin in park endseq
1221,startseq  couple sits at cramped table in busy restaurant endseq
1222,startseq  elderly lady and middleaged man talk over table endseq
1223,startseq  beige puppy walks across the floor endseq
1224,startseq  man wearing red helmet jumps up while riding skateboard endseq
1225,startseq  boy stands inside halfcompleted igloo endseq
1226,startseq  girl is climbing rock while someone is filming her endseq
1227,startseq  boy is kissing woman on the cheek next to girl who is wide eyed and sticking out her tongue endseq
1228,startseq  black dog is running across field endseq
1229,startseq  golden labrador is swimming through water with red toy in its mouth endseq
1230,startseq  girl in bathing suit carries paddle endseq
1231,startseq  girl in pink shirt jumping from one couch to another in well apportioned living room endseq
1232,startseq  group of boys pose for picture endseq
1233,startseq  baby in campflauge crawls on clean hardwood floor endseq
1234,startseq  woman holding and posing an infant dressed in hawaiin shirt on skateboard endseq
1235,startseq  lady in orange is running endseq
1236,startseq  dark haired boy in gold shirt is inside piece of blue plastic play equipment endseq
1237,startseq  kid walks on snowy hill with their arms out endseq
1238,startseq  dog with tiger colorings steps into the water endseq
1239,startseq  roller derby woman wearing helmet has tattoo of white indian pulling back bow endseq
1240,startseq  group of large white and orange dogs are in the grass endseq
1241,startseq  black and brown dog jumping in midair near field endseq
1242,startseq  bald headed man is standing by the beer pumps at the bar endseq
1243,startseq  black and brown dog is standing outdoors at night endseq
1244,startseq  man is wearing protective hair and face coverings endseq
1245,startseq  man is sitting on the floor outside door and his head on his chin endseq
1246,startseq  black cat hugging white and gray dog endseq
1247,startseq  boy in red shirt sits on rock on the edge of river endseq
1248,startseq  dog begins to climb brick staircase near plants endseq
1249,startseq  black dog chases boy wearing red and blue endseq
1250,startseq  brown dog on the beach with yellow ball in his mouth endseq
1251,startseq  dog gets ready to catch yellow ball while standing in the sand endseq
1252,startseq  man and two kids standing in front of an ancient building endseq
1253,startseq  two big dogs wade in the ocean endseq
1254,startseq  man watching two dogs in the water endseq
1255,startseq  brown and white dog is running through an uncut field that has mushrooms endseq
1256,startseq  clown blowing whistle endseq
1257,startseq  few people stand around the counter of an establishment endseq
1258,startseq  black and brown dog running in field endseq
1259,startseq  man and little girl walking down the street endseq
1260,startseq  boy in red uniform plays hockey outside endseq
1261,startseq  man is carrying surfboard along stone wall that leads to the ocean endseq
1262,startseq  man in tropical enviorment holding camera to his face endseq
1263,startseq  the rock climbers are on their equipment in front of cave endseq
1264,startseq  man and two women standing by wood pole in front of steps endseq
1265,startseq  man in jeans lying down on pole outdoors endseq
1266,startseq  woman in animal print coat standing next to smoking woman endseq
1267,startseq  black and white dog frolics in the snow endseq
